CPU	GHz	GPU	RAM	RAMType	Screen	Storage	SSD	Weight	Price
i5	2.3	amd	8	ddr3	15.6	180	True	1.8	548
i5	2.3	intel	8	ddr3	15.6	180	True	1.8	527
i5	2.4	intel	8	ddr4	12.5	128	True	1.3	442
i3	2.3	intel	4	ddr3	13.3	128	True	1.5	295
i3	2.3	intel	4	ddr4	13.3	128	True	1.5	316
i3	2.3	intel	8	ddr4	13.3	128	True	1.5	305
i3	2	intel	8	ddr3	13.3	256	True	1.8	263
a10	1.8	amd	4	ddr3	14	128	True	1.5	253
a10	1.8	amd	4	ddr3	12.5	128	True	1.26	232
i7	2.9	nvidia	16	ddr3	17.3	128	True	3.4	843
i5	2.3	amd	8	ddr4	15.6	256	True	1.9	632
i5	2.3	amd	8	ddr4	15.6	256	True	1.9	558
i5	2.3	intel	8	ddr3	12.5	128	True	1.4	316
i5	2.4	intel	8	ddr4	14	240	True	1.36	464
i5	2.2	intel	4	ddr3	14	128	True	1.6	358
i5	2.3	intel	8	ddr3	14	256	True	1.44	379
i5	2.3	intel	8	ddr3	14	256	True	1.44	432
i5	2.3	intel	8	ddr4	14	128	True	1.5	421
i5	1.6	intel	8	ddr3	13.3	128	True	1.4	622
i5	1.6	intel	8	ddr3	13.3	128	True	1.4	579
i5	2.3	intel	8	ddr3	12.5	256	True	1.4	305
i5	2.3	intel	8	ddr3	12.5	256	True	1.4	295
i5	2.2	intel	8	ddr3	12.5	500	False	1.3	316
i7	2.5	nvidia	16	ddr3	15.6	256	True	2.8	780
i7	2.6	intel	8	ddr3	13.3	128	True	1.4	748
i5	1.4	intel	4	ddr3	11.6	128	True	1	442
i5	1.4	intel	4	ddr3	11.6	128	True	1	442
i5	2.3	intel	8	ddr4	14	128	True	1.5	400
i7	2.1	amd	16	ddr3	14	256	True	1.6	727
i7	2.1	amd	16	ddr3	14	180	True	1.6	695
i7	2.1	amd	16	ddr3	14	180	True	1.6	611
a10	1.8	amd	4	ddr3	12.5	128	True	1.26	211
i5	2.3	intel	8	ddr4	14	128	True	1.5	442
i5	1.6	intel	4	ddr3	13.3	128	True	1.4	548
i5	1.6	intel	4	ddr3	13.3	256	True	1.4	622
i7	2.4	amd	16	ddr3	14	180	True	1.6	716
i7	2.4	amd	16	ddr3	14	180	True	1.6	653
i7	2.4	amd	16	ddr3	14	256	True	1.6	780
i5	1.8	intel	8	ddr3	11.6	256	True	1.3	263
a10	1.8	amd	4	ddr3	14	128	True	1.5	253
i5	1.9	intel	8	ddr3	12.5	256	True	1.3	400
m	1.1	intel	8	ddr3	12.5	256	True	1.2	421
i5	2.3	intel	8	ddr4	14	128	True	1.5	337
i7	2.6	intel	16	ddr3	12.5	256	True	1.3	464
i5	1.9	intel	8	ddr3	14	256	True	1.7	358
i5	1.9	intel	8	ddr3	14	256	True	1.7	337
i5	2.3	intel	12	ddr3	14	180	True	1.6	442
i5	2.3	intel	12	ddr3	14	256	True	1.6	474
i5	2.3	intel	12	ddr3	14	180	True	1.6	432
i5	2.3	intel	8	ddr3	14	180	True	1.6	400
i5	2.3	intel	8	ddr3	14	180	True	1.6	411
i3	2.3	intel	4	ddr3	12.5	128	True	1.4	295
i7	2.2	nvidia	16	ddr3	15.6	256	True	1.9	801
i7	2.6	nvidia	16	ddr4	15.6	256	True	2.6	896
i7	2.8	nvidia	16	ddr3	15.6	250	True	2.8	790
i5	2.3	intel	8	ddr4	14	128	True	1.5	379
i7	2.1	nvidia	8	ddr3	15.6	250	True	2.4	474
i5	2.6	intel	8	ddr3	12.5	180	True	1.5	274
i3	1.9	intel	4	ddr3	13.3	120	True	1.5	274
i7	2.7	nvidia	16	ddr3	15.6	240	True	2.8	716
i5	2.3	intel	8	ddr4	12.5	256	True	1.3	442
i5	1.6	intel	8	ddr3	13.3	128	True	1.4	579
i5	1.6	intel	4	ddr3	11.6	128	True	1.1	485
i5	1.3	intel	4	ddr3	13.3	128	True	1.4	485
i5	2.3	intel	8	ddr3	14	180	True	1.6	442
i7	2.4	nvidia	8	ddr3	15.6	256	True	2.5	780
i5	1.3	intel	4	ddr3	11.6	128	True	1	432
i5	1.6	intel	8	ddr3	11.6	128	True	1.1	579
i5	1.6	intel	8	ddr3	11.6	128	True	1.1	548
i5	1.8	intel	4	ddr3	13.3	128	True	1.4	495
i5	1.6	intel	8	ddr3	12.5	500	False	1.4	263
i5	1.6	intel	8	ddr3	12.5	500	False	1.4	284
i5	2.2	intel	8	ddr3	15.6	128	True	1.8	474
i5	2.3	intel	8	ddr4	14	128	True	1.5	390
i5	2.3	intel	8	ddr4	14	256	True	1.5	421
i5	2.3	intel	8	ddr4	14	180	True	1.5	453
i3	1.9	intel	8	ddr3	14	128	True	1.6	253
i3	1.9	intel	8	ddr3	14	128	True	1.6	253
i5	2.7	intel	8	ddr3	13.3	256	True	1.6	843
i5	2.7	intel	8	ddr3	13.3	256	True	1.6	769
i5	1.6	intel	8	ddr3	13.3	128	True	1.4	474
i5	1.6	intel	4	ddr3	13.3	128	True	1.4	569
i5	1.6	intel	4	ddr3	13.3	128	True	1.4	548
i5	1.6	intel	4	ddr3	13.3	128	True	1.4	558
i5	1.6	intel	4	ddr3	13.3	256	True	1.4	653
i5	1.6	intel	4	ddr3	13.3	256	True	1.4	611
i5	1.6	intel	8	ddr3	13.3	256	True	1.4	664
i5	1.6	intel	8	ddr3	13.3	256	True	1.4	685
i7	3.1	intel	16	ddr3	13.3	128	True	1.6	948
i5	2.5	intel	8	ddr3	13.3	750	False	2	485
a10	1.8	amd	4	ddr3	12.5	128	True	1.26	211
i5	2.3	intel	8	ddr3	14	128	True	1.6	358
a10	1.8	amd	4	ddr3	14	128	True	1.5	253
i5	2.4	intel	8	ddr4	12.5	128	True	1.3	390
i5	1.6	intel	8	ddr3	12.5	500	False	1.4	211
i5	1.6	intel	8	ddr3	14	180	True	1.78	336
i5	1.6	intel	8	ddr3	13	128	True	1.35	673
i7	2.3	intel	16	ddr3	15	500	True	2.02	904
i5	1.6	intel	4	ddr3	13	128	True	1.77	318
i7	2.6	intel	16	ddr4	12	256	True	1.18	789
m5	1.1	intel	8	ddr3	13	256	True	1.17	637
i5	2	geforce	8	ddr3	14	128	True	2.3	315
i5	1.9	intel	8	ddr3	14	256	True	2.3	291
i5	1.9	intel	8	ddr3	14	320	False	2.3	259
i5	2.3	intel	8	ddr3	14	128	True	1.96	357
i5	2.2	intel	8	ddr3	14	500	False	1.96	315
i5	1.6	intel	8	ddr3	15	500	False	2.4	336
i5	1.9	intel	8	ddr3	12	256	True	1.34	283
i5	2.3	intel	8	ddr3	12	128	True	1.34	336
i5	2.3	intel	8	ddr3	12	128	True	1.34	341
i5	2.3	intel	8	ddr3	12	256	True	1.34	399
i5	2.3	intel	8	ddr3	12	256	True	1.34	398
i5	2.4	intel	8	ddr3	12	256	True	1.38	485
i5	2.2	intel	8	ddr3	14	128	True	1.56	375
i5	2.2	intel	8	ddr3	14	128	True	1.56	341
i5	2.2	intel	8	ddr3	14	256	True	1.56	410
i5	2.2	intel	8	ddr3	14	256	True	1.56	409
i5	2.2	intel	8	ddr3	14	256	True	1.56	368
i5	2.2	intel	8	ddr3	14	256	True	1.56	375
i5	2.2	intel	8	ddr3	14	256	True	1.56	431
i5	2.2	intel	8	ddr3	14	256	True	1.56	432
i5	2.4	intel	8	ddr4	14	256	True	1.56	740
i5	2.4	intel	8	ddr4	14	256	True	1.56	621
i5	2.4	intel	8	ddr4	14	256	True	1.56	706
i7	2.7	firepro	16	ddr4	15	512	True	2	1000
i7	2.7	nvidia	16	ddr4	15	512	True	1.78	1253
i7	2.7	nvidia	16	ddr4	15	256	True	2.7	1116
i7	2.7	nvidia	16	ddr3	15	256	True	3.16	663
i7	2.7	nvidia	16	ddr3	15	256	True	3.16	715
i7	2.7	nvidia	32	ddr3	15	512	True	3.16	842
i7	2.7	nvidia	16	ddr4	15	512	True	2.75	1021
i3	2.5	intel	8	ddr3	14	128	True	1.7	252
i3	2.3	intel	8	ddr4	15	128	True	2.3	431
i3	2.3	intel	8	ddr4	15	128	True	2.3	410
i3	2.3	intel	8	ddr4	15	128	True	2.3	347
i3	2.4	intel	4	ddr3	13	500	False	1.7	199
i3	2.4	intel	4	ddr3	13	500	False	1.7	157
i5	2.5	intel	8	ddr3	13	128	True	1.7	273
i5	2.5	intel	8	ddr3	13	128	True	1.7	231
i5	2.5	intel	8	ddr3	13	128	True	1.7	238
i5	2.3	intel	8	ddr4	13	128	True	1.6	399
i5	2.3	intel	8	ddr4	13	128	True	1.6	395
i5	2.3	intel	8	ddr4	13	128	True	1.6	336
i5	2.3	intel	8	ddr4	13	128	True	1.6	338
i5	2.3	intel	8	ddr4	13	256	True	1.6	505
i5	2.3	intel	8	ddr4	13	256	True	1.6	508
i5	2.3	intel	8	ddr4	13	256	True	1.6	448
i5	2.3	intel	8	ddr4	13	256	True	1.6	485
i7	2.5	intel	8	ddr4	13	256	True	1.6	547
i7	2.5	intel	8	ddr4	13	256	True	1.6	542
i5	2.3	intel	8	ddr4	14	128	True	1.7	484
i5	2.3	intel	8	ddr4	14	128	True	1.7	452
i5	2.3	intel	8	ddr4	14	256	True	1.7	452
i7	2.3	intel	16	ddr3	15	256	True	1.9	494
i7	2.3	intel	16	ddr3	15	256	True	1.9	547
i5	2.6	intel	8	ddr3	13	128	True	1.66	231
i5	2.5	intel	4	ddr3	12	128	True	1.83	199
i5	2.5	intel	8	ddr3	12	128	True	1.83	227
i5	1.6	intel	8	ddr3	12	128	True	1.33	283
i5	1.6	intel	8	ddr3	12	256	True	1.33	315
i5	2.2	intel	8	ddr3	12	128	True	1.33	384
i5	2.2	intel	8	ddr3	12	256	True	1.33	410
i5	2.2	intel	8	ddr3	12	256	True	1.33	406
i7	2.4	intel	8	ddr3	12	128	True	1.33	399
i7	2.4	intel	8	ddr3	12	128	True	1.33	421
i7	2.4	intel	8	ddr3	12	256	True	1.33	455
i5	2.3	intel	16	ddr4	12	256	True	1.3	526
i5	2.3	intel	16	ddr4	12	256	True	1.3	535
i5	2.3	intel	8	ddr4	12	128	True	1.3	389
i5	2.3	intel	8	ddr4	12	128	True	1.3	368
i5	2.3	intel	8	ddr4	12	256	True	1.3	399
i5	2.3	intel	8	ddr4	12	256	True	1.3	398
i5	2.3	intel	8	ddr4	12	256	True	1.3	540
i5	2.3	intel	8	ddr4	12	256	True	1.3	473
i5	2.3	intel	8	ddr4	12	256	True	1.3	478
i5	2.3	intel	8	ddr4	12	256	True	1.3	452
i5	2.3	intel	8	ddr4	12	256	True	1.3	357
i5	2.3	intel	8	ddr4	12	256	True	1.3	375
i7	2.5	intel	8	ddr4	12	256	True	1.3	580
i7	2.5	intel	8	ddr4	12	256	True	1.3	614
i5	2.5	intel	8	ddr4	12	256	True	1.3	455
i7	2.7	intel	16	ddr4	12	512	True	1.3	737
i7	2.7	intel	16	ddr4	12	512	True	1.3	740
i7	2.7	intel	8	ddr4	12	256	True	1.3	640
i7	2.7	intel	8	ddr4	12	256	True	1.3	621
i5	1.6	radeon	8	ddr3	14	128	True	1.78	379
i5	1.6	radeon	8	ddr3	14	128	True	1.78	398
i5	1.6	radeon	8	ddr3	14	128	True	1.78	375
i5	1.6	intel	8	ddr3	14	128	True	1.78	389
i5	1.6	intel	8	ddr3	14	180	True	1.9	452
i5	1.6	intel	8	ddr3	14	256	True	1.78	378
i5	1.6	intel	8	ddr3	14	256	True	1.78	386
i7	2.1	intel	8	ddr3	14	128	True	1.78	420
i5	2.2	intel	8	ddr3	14	128	True	1.78	368
i5	2.2	intel	8	ddr3	14	128	True	1.78	420
i5	2.2	intel	8	ddr3	14	128	True	1.78	432
i5	2.2	intel	8	ddr3	14	128	True	1.78	357
i5	2.2	intel	8	ddr3	14	128	True	1.78	389
i5	2.2	intel	8	ddr3	14	128	True	1.78	359
i5	2.2	intel	8	ddr3	14	256	True	1.78	399
i5	2.2	intel	8	ddr3	14	256	True	1.78	399
i5	2.2	intel	8	ddr3	14	256	True	1.78	431
i7	2.6	intel	8	ddr3	14	128	True	1.78	420
i7	2.6	intel	8	ddr3	14	128	True	1.78	421
i7	2.6	intel	8	ddr3	14	128	True	1.78	442
i7	2.6	intel	8	ddr3	14	128	True	1.78	443
i5	2.3	intel	8	ddr4	14	128	True	1.7	480
i5	2.3	intel	8	ddr4	14	128	True	1.7	512
i5	2.3	intel	8	ddr4	14	128	True	1.7	431
i5	2.3	intel	8	ddr4	14	256	True	1.7	557
i5	2.3	intel	8	ddr4	14	256	True	1.7	505
i5	2.3	intel	8	ddr4	14	256	True	1.7	535
i5	2.3	intel	8	ddr4	14	256	True	1.7	473
i5	2.3	intel	8	ddr4	14	256	True	1.7	452
i5	2.3	intel	8	ddr4	14	256	True	1.7	455
i7	2.5	intel	8	ddr4	14	180	True	1.7	459
i7	2.5	intel	8	ddr4	14	180	True	1.7	489
i7	2.5	intel	8	ddr4	14	256	True	1.7	637
i5	2.5	intel	8	ddr4	14	256	True	1.7	789
i5	2.2	intel	8	ddr3	15	128	True	1.97	535
i5	2.2	intel	8	ddr3	15	128	True	1.97	484
i5	2.2	intel	8	ddr3	15	128	True	1.97	512
i5	2.3	intel	8	ddr4	15	128	True	1.9	640
i5	2.3	intel	8	ddr4	15	128	True	1.9	683
i5	2.3	intel	8	ddr4	15	128	True	1.9	620
i5	2.3	intel	8	ddr4	15	128	True	1.9	660
i5	2.3	intel	8	ddr4	15	256	True	1.9	740
i5	2.3	intel	8	ddr4	15	256	True	1.9	680
i5	2.3	intel	8	ddr4	15	256	True	1.9	717
i7	2.5	intel	8	ddr4	15	256	True	1.9	797
i7	2.5	intel	8	ddr4	15	256	True	1.9	715
i7	2.5	intel	8	ddr4	15	256	True	1.9	717
i5	2.2	intel	8	ddr3	14	256	True	1.63	455
i7	2.6	intel	8	ddr3	14	256	True	1.63	546
i5	2.3	intel	8	ddr4	14	128	True	1.54	540
i5	2.3	intel	8	ddr4	14	128	True	1.54	569
i5	2.3	intel	8	ddr4	14	256	True	1.54	626
i5	2.3	intel	8	ddr4	14	256	True	1.54	569
i5	2.3	intel	8	ddr3	11	180	True	1.3	336
i3	1.7	intel	4	ddr3	13	320	False	1.6	199
i3	2.1	intel	8	ddr3	13	128	True	1.6	272
i3	2.1	intel	8	ddr3	13	128	True	1.6	250
i5	2.5	intel	4	ddr3	14	128	True	2.13	210
i5	2.5	intel	8	ddr3	14	128	True	2.13	307
i5	2.5	intel	8	ddr3	14	128	True	2.13	284
i5	2.3	intel	8	ddr4	14	128	True	1.95	452
i5	2.5	intel	8	ddr3	15	128	True	2	357
i5	2.5	intel	8	ddr3	15	320	False	2	336
i5	2.5	intel	8	ddr3	15	320	False	2	357
i5	2.5	intel	8	ddr4	13	256	True	1.28	683
i5	2.5	intel	8	ddr4	13	256	True	1.28	592
i7	2.6	firepro	16	ddr3	14	180	True	1.78	568
i7	2.6	firepro	16	ddr3	14	180	True	1.78	536
i7	2.5	nvidia	16	ddr3	15	256	True	3.46	700
i7	2.5	nvidia	16	ddr3	15	512	True	3.08	820
i7	2.5	nvidia	16	ddr3	15	512	True	3.08	768
i7	2.5	nvidia	16	ddr3	15	512	True	3.08	797
i7	2.5	nvidia	32	ddr3	15	512	True	3.08	920
i7	2.9	nvidia	32	ddr3	15	512	True	3.08	968
i7	2.6	nvidia	16	ddr4	15	256	True	2.62	1130
i7	2.6	nvidia	16	ddr4	15	256	True	2.62	1070
i7	2.6	nvidia	16	ddr4	15	512	True	2.62	1253
i7	2.6	nvidia	16	ddr4	15	512	True	2.62	1160
i7	2.6	nvidia	16	ddr4	15	512	True	2.62	1230
i7	2.4	nvidia	16	ddr3	15	256	True	3.08	700
i7	2.4	nvidia	16	ddr3	15	512	True	3.08	751
i7	2.4	nvidia	16	ddr3	15	512	True	3.08	774
i7	2.5	nvidia	16	ddr3	17	256	True	3.46	945
i7	2.9	nvidia	32	ddr3	17	512	True	3.46	1085
i7	2.8	nvidia	16	ddr3	17	180	True	3.46	640
i7	2.7	nvidia	16	ddr3	17	256	True	3.46	911
i7	2.6	nvidia	16	ddr4	15	512	True	2	1158
i7	2.6	nvidia	16	ddr4	15	512	True	2	1310
i5	2.2	intel	8	ddr3	12	128	True	1.45	357
i5	2.2	intel	8	ddr3	12	128	True	1.45	364
i5	2.5	intel	8	ddr3	14	500	False	2.26	273
i5	2.3	intel	8	ddr3	14	192	True	2	568
i7	2.7	nvidia	16	ddr4	15	256	True	2.5	863
i7	2.6	nvidia	16	ddr4	15	512	True	2.5	1470
i7	2.7	nvidia	16	ddr4	15	512	True	2.5	1277
i5	2.5	intel	4	ddr3	14	250	False	2.4	199
i5	2.6	intel	4	ddr3	14	320	False	2.33	215
i5	2.6	intel	4	ddr3	14	320	False	2.33	181
i5	2.6	intel	8	ddr3	14	128	True	2.33	307
i5	2.6	intel	8	ddr3	14	128	True	2.33	273
i5	2.5	intel	8	ddr3	14	128	True	2.33	261
i5	2.6	intel	8	ddr3	14	128	True	2.33	284
i5	1.6	intel	8	ddr3	14	128	True	1.8	368
i5	1.6	intel	8	ddr3	14	500	False	1.8	305
i5	2.6	intel	8	ddr3	14	128	True	2.26	305
i5	2.5	intel	8	ddr3	14	256	True	2.26	420
i7	2.9	intel	16	ddr3	14	256	True	2.26	515
i7	2.9	intel	16	ddr3	14	256	True	2.26	442
i7	2.9	intel	16	ddr3	14	256	True	2.26	484
i5	2.2	intel	8	ddr3	14	180	True	1.73	399
i5	2.2	intel	8	ddr3	14	180	True	1.73	399
i5	2.2	intel	8	ddr3	14	180	True	1.73	357
i5	2.2	intel	8	ddr3	14	180	True	1.73	368
i5	2.2	intel	8	ddr3	14	256	True	1.6	431
i5	2.3	intel	8	ddr3	14	256	True	1.73	652
i5	2.3	intel	8	ddr3	14	256	True	1.73	598
i5	2.4	intel	8	ddr4	14	192	True	1.4	600
i5	2.4	intel	8	ddr4	14	192	True	1.4	603
i5	2.3	intel	8	ddr4	14	256	True	1.4	621
i5	2.6	intel	8	ddr4	14	128	True	1.4	821
i5	2.3	intel	8	ddr4	14	512	True	1.4	911
i5	2.3	intel	8	ddr4	14	512	True	1.4	831
i5	1.7	intel	8	ddr4	14	256	True	1.6	1082
i5	1.7	intel	8	ddr4	14	256	True	1.6	937
i5	1.7	intel	8	ddr4	14	256	True	1.6	1059
i5	2.5	nvidia	8	ddr3	15	128	True	2.5	484
i5	2.5	intel	8	ddr3	15	128	True	2.5	378
i5	2.5	intel	8	ddr3	15	500	False	2.5	375
i5	2.2	intel	8	ddr3	15	180	True	2.1	547
i5	2.2	intel	8	ddr3	15	180	True	2.1	463
i7	2.6	nvidia	8	ddr3	15	180	True	2.81	505
i7	2.7	nvidia	16	ddr3	15	180	True	2.48	737
i7	2.8	nvidia	16	ddr3	15	512	True	2.48	768
i5	1.9	intel	8	ddr3	12	128	True	1.45	283
i5	1.6	intel	8	ddr3	12	256	True	1.45	336
i5	1.6	intel	8	ddr3	12	500	False	1.45	262
i5	2.2	intel	8	ddr3	12	256	True	1.45	336
i5	2.3	intel	8	ddr4	12	128	True	1.45	484
i5	2.3	intel	8	ddr4	12	192	True	1.45	420
i5	2.3	intel	8	ddr4	12	256	True	1.45	489
i5	2.3	intel	8	ddr4	12	256	True	1.45	515
i5	2.3	intel	8	ddr4	12	256	True	1.45	442
i7	2.5	intel	8	ddr4	12	256	True	1.45	652
i7	2.5	intel	8	ddr4	14	256	True	1.36	728
i5	1.6	intel	8	ddr3	13	128	True	1.35	726
i5	2.7	intel	8	ddr3	13	512	True	1.58	768
i7	2.3	intel	16	ddr3	15	500	True	2.02	1074
i5	2.5	intel	8	ddr4	14	120	True	1.4	869
i5	2.6	intel	8	ddr4	12.5	120	True	1.2	922
i7	2.6	intel	16	ddr4	12.5	250	True	1.3	1054
i5	2.5	intel	8	ddr4	14	120	True	1.4	790
i3	2.3	intel	8	ddr4	12.5	120	True	1.5	234
i3	2.3	intel	8	ddr4	12.5	120	True	1.5	356
i3	2.1	intel	8	ddr3	14	120	True	1.8	369
i5	1.6	intel	4	ddr3	12.5	120	True	1.4	461
i3	2.1	intel	8	ddr3	12.5	120	True	1.2	540
i3	2.1	intel	8	ddr3	12.5	120	True	1.2	435
i3	2.1	intel	8	ddr3	12.5	120	True	1.2	311
i5	2.3	intel	8	ddr3	12.5	120	False	1.2	500
i5	2.4	intel	8	ddr4	12.5	120	True	1.3	664
i5	2.4	intel	8	ddr4	12.5	120	False	1.3	782
i5	2.4	intel	8	ddr3	14	120	True	1.6	724
i5	2.4	intel	8	ddr3	14	120	True	1.6	579
i7	2.7	intel	8	ddr4	15.6	250	True	1.8	738
a10	2.4	amd	8	ddr4	14	120	False	1.5	658
i5	1.9	intel	4	ddr3	12.5	120	True	1.3	253
i5	2.2	intel	4	ddr3	12.5	320	False	1.3	395
i5	2.2	intel	4	ddr3	12.5	120	True	1.3	358
i5	2.3	intel	8	ddr4	12.5	120	True	1.3	601
i3	2.3	intel	8	ddr4	12.5	120	True	1.3	685
i5	2.3	intel	8	ddr4	12.5	240	False	1.3	856
i5	2.3	intel	4	ddr4	12.5	500	False	1.3	537
i5	2.3	intel	8	ddr4	12.5	120	True	1.3	751
i5	2.3	intel	8	ddr4	12.5	120	True	1.3	653
i5	2.3	intel	8	ddr4	12.5	120	True	1.3	817
i5	2.4	intel	8	ddr4	12.5	120	False	1.3	751
i5	2.5	intel	8	ddr4	12.5	250	True	1.3	750
i5	2.2	intel	4	ddr3	14	120	True	1.6	358
i3	2.1	intel	4	ddr3	14	120	True	1.6	527
i5	2.3	intel	8	ddr4	14	120	False	1.5	751
i5	2.3	intel	8	ddr4	14	120	False	1.5	601
i7	2.6	intel	8	ddr4	14	250	True	1.5	922
i7	2.6	intel	8	ddr4	14	250	True	1.5	738
i5	2.4	intel	8	ddr4	14	120	False	1.5	751
i5	2.3	intel	8	ddr4	15.6	250	False	1.9	948
i5	2.3	intel	8	ddr4	15.6	250	True	1.9	759
i5	2.2	intel	8	ddr3	14	120	False	1.5	514
i5	2.3	intel	8	ddr4	14	250	True	1.5	738
i5	2.3	intel	8	ddr4	14	250	False	1.5	922
i5	1.6	intel	4	ddr3	11.6	120	True	1.4	291
i5	2.5	intel	8	ddr4	12.5	240	True	1.2	803
i3	2.1	intel	4	ddr3	13.3	120	False	1.5	237
i5	1.7	intel	4	ddr3	13.3	120	False	1.5	263
i3	2.3	intel	4	ddr4	13.3	120	False	1.5	316
i3	2.1	intel	8	ddr4	13.3	120	True	1.5	658
i5	2.5	intel	4	ddr3	14	120	True	2.5	263
i5	2.5	intel	4	ddr3	14	120	True	2.5	224
i5	2.5	intel	4	ddr3	14	320	False	2	158
i5	2.6	intel	16	ddr3	14	250	True	1.3	1185
i7	2.7	intel	16	ddr4	15.6	480	True	2.6	1712
i7	2.6	intel	8	ddr4	15.6	240	False	2.6	1581
i5	1.6	intel	8	ddr4	12.2	240	True	0.9	1014
i5	2.5	intel	8	ddr3	14	240	True	2.3	237
i5	2.3	intel	8	ddr3	14	120	False	2	474
i5	2.3	intel	8	ddr3	14	120	False	2	593
i5	2.5	intel	8	ddr4	14	240	True	1.9	751
i7	2.9	nvidia	32	ddr4	15.6	240	True	2.7	1604
i5	1.6	intel	8	ddr3	14	120	False	1.7	369
i5	1.6	intel	8	ddr3	14	120	True	1.7	313
i7	2.6	intel	16	ddr3	14	240	True	1.7	537
i5	2.4	intel	8	ddr4	14	120	True	1.4	632
i5	2.4	intel	8	ddr4	14	240	True	1.4	896
i5	2.4	intel	8	ddr4	14	240	True	1.4	716
i5	2.4	intel	8	ddr4	14	240	True	1.7	922
i5	2.4	intel	8	ddr4	14	120	True	1.4	790
i7	2.5	intel	8	ddr4	14	250	True	1.1	716
i5	2.2	intel	8	ddr3	12.5	180	False	1.3	566
i5	2.2	intel	8	ddr3	12.5	120	False	1.3	527
