CPU	GHz	GPU	RAM	RAMType	Screen	Storage	SSD	Weight	Price
i5	1.8	intel	4	ddr3	13.3	128	True	1.4	527
i5	2.5	intel	4	ddr3	13.3	500	False	2	527
i5	2.5	intel	8	ddr3	13.3	500	False	2	558
i5	1.4	intel	4	ddr3	11.6	128	True	1	485
i5	1.3	intel	4	ddr3	11.6	128	True	1	421
i5	1.3	intel	4	ddr3	13.3	128	True	1.4	506
i5	1.3	intel	4	ddr3	13.3	128	True	1.4	506
i5	1.3	intel	4	ddr3	13.3	128	True	1.4	506
i5	1.3	intel	4	ddr3	13.3	128	True	1.4	506
i5	1.4	intel	4	ddr3	13.3	128	True	1.4	548
i5	2.3	intel	8	ddr3	14	256	True	1.44	358
i5	1.3	intel	4	ddr3	11.6	128	True	1	474
i5	1.4	intel	4	ddr3	11.6	128	True	1	474
i5	1.7	intel	8	ddr3	12.5	128	True	1.3	337
i5	1.6	intel	4	ddr3	14	128	True	1.6	358
i5	2.3	intel	8	ddr3	12.5	256	True	1.3	400
i5	2.6	intel	8	ddr3	14	128	True	2.1	337
i5	1.9	intel	16	ddr3	14	180	True	1.6	579
i5	2.3	intel	8	ddr4	14	128	True	1.5	421
i5	2.5	amd	8	ddr3	14	120	True	2.1	337
i5	1.9	intel	8	ddr3	14	128	True	1.6	358
i5	2.3	intel	8	ddr3	12.5	256	True	1.4	337
i5	2.3	intel	8	ddr3	12.5	180	True	1.3	369
i5	2.2	intel	8	ddr3	12.5	128	True	1.3	295
i5	1.6	intel	8	ddr3	12.5	500	False	1.4	284
i7	2.5	nvidia	8	ddr3	17.3	128	True	3.4	790
i5	2.6	intel	8	ddr3	14	500	False	2.1	295
i5	1.6	intel	4	ddr3	11.6	128	True	1.1	527
i5	2.3	intel	8	ddr4	14	128	True	1.5	411
i5	2.3	intel	8	ddr3	12.5	256	True	1.3	337
i5	1.6	intel	8	ddr3	12.5	120	True	1.3	295
i5	2.3	intel	8	ddr3	12.5	128	True	1.3	337
i5	1.6	intel	8	ddr3	12.5	120	True	1.3	295
i5	1.6	intel	8	ddr3	12.5	120	True	1.3	337
i3	1.7	intel	8	ddr3	12.5	120	True	1.3	263
i5	2.6	intel	8	ddr3	12.5	128	True	1.5	263
i3	1.9	intel	4	ddr3	13.3	128	True	1.6	253
i7	2.7	nvidia	32	ddr4	15.6	512	True	2.7	927
i5	2.4	intel	8	ddr4	12.5	256	True	1.3	421
i5	2.3	intel	8	ddr4	14	256	True	1.5	442
i7	2.7	nvidia	32	ddr4	17.3	512	True	3.42	1117
i5	2.4	intel	8	ddr4	12.5	256	True	1.4	442
i5	2.4	intel	8	ddr4	12.5	256	True	1.4	390
i5	2.3	intel	8	ddr3	12.5	180	True	1.4	305
i5	2.2	intel	8	ddr3	11.6	120	True	1.4	506
i5	2.5	intel	8	ddr3	14	250	True	2.3	337
i5	2.3	intel	8	ddr3	11.6	180	True	1.4	400
i5	2.3	intel	8	ddr3	11.6	180	True	1.4	464
i5	2.3	intel	8	ddr3	12.5	256	True	1.4	305
i7	2.6	intel	8	ddr3	14	480	True	1.6	695
i7	2.6	intel	8	ddr3	14	480	True	1.6	695
i7	2.6	intel	8	ddr3	14	480	True	1.6	653
i5	1.6	intel	8	ddr3	13.3	128	True	1.4	685
i7	2.5	nvidia	16	ddr3	15.6	256	True	2.8	822
i5	2.3	intel	8	ddr3	14	128	True	1.6	358
i5	2.2	amd	4	ddr3	14	128	True	1.6	316
i5	2.2	amd	4	ddr3	14	128	True	1.6	337
i7	2.7	nvidia	8	ddr3	15.6	250	True	2.8	738
i7	2.7	nvidia	8	ddr3	15.6	250	True	2.8	790
i7	2.8	nvidia	8	ddr3	15.6	250	True	2.8	780
i5	2.4	intel	8	ddr4	14	128	True	1.36	590
i5	1.6	intel	8	ddr3	13.3	128	True	1.4	611
i5	1.6	intel	8	ddr3	13.3	128	True	1.4	569
